2431:Lint & Type Check	Run ESLint	2026-01-10T18:37:33.3356695Z ##[error]Process completed with exit code 1.
3657:Unit Tests	Run unit tests	2026-01-10T18:37:32.0837018Z [Binance] Failed to initialize: ExchangeError: Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.
3658:Unit Tests	Run unit tests	2026-01-10T18:37:32.0839567Z     at BinanceExchange.handleBinanceError (/home/runner/work/btc/btc/src/exchanges/binance/BinanceExchange.ts:176:11)
3671:Unit Tests	Run unit tests	2026-01-10T18:37:32.0854141Z    Error: Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.
3693:Unit Tests	Run unit tests	2026-01-10T18:37:32.7520513Z [Binance] Error: Unexpected end of JSON input
3694:Unit Tests	Run unit tests	2026-01-10T18:37:32.7524092Z [Binance] Failed to initialize: ExchangeError: Unexpected end of JSON input
3695:Unit Tests	Run unit tests	2026-01-10T18:37:32.7525184Z     at BinanceExchange.handleError (/home/runner/work/btc/btc/src/exchanges/BaseExchange.ts:116:13)
3707:Unit Tests	Run unit tests	2026-01-10T18:37:32.7535130Z    Error: Unexpected end of JSON input
3720:Unit Tests	Run unit tests	2026-01-10T18:37:32.9013267Z [Bybit] Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3721:Unit Tests	Run unit tests	2026-01-10T18:37:32.9033070Z [Bybit] Failed to initialize: ExchangeError: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3722:Unit Tests	Run unit tests	2026-01-10T18:37:32.9034484Z     at BybitExchange.handleError (/home/runner/work/btc/btc/src/exchanges/BaseExchange.ts:116:13)
3734:Unit Tests	Run unit tests	2026-01-10T18:37:32.9043954Z    Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3741:Unit Tests	Run unit tests	2026-01-10T18:37:32.9590695Z [Bybit] Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3743:Unit Tests	Run unit tests	2026-01-10T18:37:32.9592408Z    Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3780:Unit Tests	Run unit tests	2026-01-10T18:37:32.9680072Z [Bybit] Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3781:Unit Tests	Run unit tests	2026-01-10T18:37:32.9687559Z [Bybit] Failed to initialize: ExchangeError: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3782:Unit Tests	Run unit tests	2026-01-10T18:37:32.9688948Z     at BybitExchange.handleError (/home/runner/work/btc/btc/src/exchanges/BaseExchange.ts:116:13)
3796:Unit Tests	Run unit tests	2026-01-10T18:37:32.9702881Z    Error: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
3891:Unit Tests	Run unit tests	2026-01-10T18:37:32.9767982Z 📊 Test Results: 11 passed, 20 failed
3893:Unit Tests	Run unit tests	2026-01-10T18:37:32.9925173Z ##[error]Process completed with exit code 1.
4327:Integration Tests	Run database tests	2026-01-10T18:37:54.2045363Z PostgreSQL: 8 passed, 0 failed
4328:Integration Tests	Run database tests	2026-01-10T18:37:54.2045665Z Redis: 9 passed, 0 failed
4330:Integration Tests	Run database tests	2026-01-10T18:37:54.2046204Z Total: 17 passed, 0 failed
4545:Integration Tests	Run notifications tests	2026-01-10T18:37:55.5556861Z   failed: 0
4922:All Checks Passed	Check job results	2026-01-10T18:38:03.2063525Z [36;1m  echo "One or more checks failed"[0m
4928:All Checks Passed	Check job results	2026-01-10T18:38:03.5672517Z One or more checks failed
4929:All Checks Passed	Check job results	2026-01-10T18:38:03.5701598Z ##[error]Process completed with exit code 1.
